what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1277765775025
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1277765777859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277765793191
error,log,,,"Internal Error",1277765840461
error,log,,,"Unhandled event loop exception",1277765874595
error,log,,,"Unhandled event loop exception",1277765877152
error,log,,,"Unhandled event loop exception",1277765878346
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277765879987
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1277765883762
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ProjectsView",1277765895382
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackagesView",1277765895437
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypesView",1277765895461
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.MembersView",1277765895489
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1277765895525
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277765895570
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1277765895616
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1277765895616
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1277765902884
closed,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ProjectsView",1277765902914
closed,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackagesView",1277765902923
closed,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypesView",1277765902929
closed,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.MembersView",1277765902934
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.closePerspective",1277765902940
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1277765906761
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277765935193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277765955225
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277765971590
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766002856
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1277766002877
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766014736
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766326341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766329326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766330873
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766332945
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766338773
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766351934
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766353812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766393015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766409115
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766416494
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766448871
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277766483883
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1277766489594
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277766496536
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766497888
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766500641
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766500717
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766507142
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766532929
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766611188
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1277766611279
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766612560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766752782
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766759187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766812828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766825361
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766850154
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766864343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766920070
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766925925
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766967076
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1277766967132
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277766968861
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1277767017973
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767018060
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767044464
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1277767062782
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1277767062839
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1277767062920
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767063673
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767070369
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767111777
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1277767114126
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1277767114200
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1277767114201
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1277767114628
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1277767132333
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767136338
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1277767136464
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767150699
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1277767152444
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767160412
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767202301
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1277767202351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767206653
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277767210842
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1277767215927
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277767216150
closed,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1277767216151
